Date/Time,Word Count,en,pt
2025.03.19-13.27.56,536,536,0
2025.03.19-13.34.55,536,536,151
2025.03.19-13.52.51,536,536,536
2025.03.20-20.47.15,471,471,471
2025.03.20-20.53.29,877,877,471
2025.03.20-22.01.23,877,877,633
2025.03.20-22.17.50,877,877,701
2025.03.20-22.32.52,964,964,626
2025.03.20-22.45.08,965,965,808
2025.03.20-22.51.36,965,965,965
2025.03.20-23.12.45,1059,1059,965
2025.03.27-18.22.14,1505,1505,984
2025.03.27-18.37.31,1505,1505,999
2025.03.27-18.59.06,1483,1483,992
2025.03.27-19.32.28,1483,1483,1238
2025.03.27-19.55.12,1483,1483,1483
2025.03.27-20.01.59,1498,1498,1483
